timestamp,filing_date,ticker,asset,action,amount_low,amount_high,trade_date,lag_days,link
2026-08-28T03:56:09+00:00,2026-08-12,GS,Goldman Sachs Group Inc,BUY,1001,15000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,AME,Ametek Inc,BUY,15001,50000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,IFF,International Flavors & Fragrances Inc,BUY,1001,15000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,ALL,Allstate Corp,BUY,15001,50000,,,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,HWM,Howmet Aerospace Inc,BUY,15001,50000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,VRSK,Verisk Analytics Inc,BUY,15001,50000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,KLAC,Kla Corp,BUY,50001,100000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,EMR,Emerson Elec Co ‘,BUY,15001,50000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,CAT,Caterpillar Inc ___,BUY,15001,50000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
2026-08-28T03:56:09+00:00,2026-08-12,SPGI,S&p Global Inc,BUY,1001,15000,2026-06-23,50,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2BF91F890F718ACB85258E5B002DE16B/$FILE/Donald-J-Trump-08.12.2026-278T.pdf
